E_rebin_0.2eV (eV):Sum Ch12+14:Sum Ch12:Sum Ch14:Ch12 p16b rebin:Ch12 p16d rebin:Ch12 p17a rebin:Ch14 p16b rebin:Ch14 p16d rebin:Ch14 p17a rebin
12.100	5213.2	1661.1	3552.1	460.89	812.44	387.72	1223.8	2052.6	275.73
12.300	5404.4	1667.7	3736.7	469.13	783.38	415.18	1259.9	2184.2	292.55
12.500	5552.7	1711.4	3841.3	474.17	810.34	426.88	1317.6	2225.2	298.43
12.700	5510.7	1697.2	3813.5	505.34	794.25	397.59	1250.0	2260.0	303.49
12.900	5595.4	1732.5	3863.0	484.60	833.01	414.85	1317.8	2243.8	301.43
13.100	5621.3	1735.9	3885.4	491.59	856.52	387.75	1317.2	2264.4	303.79
13.300	5670.4	1725.6	3944.8	500.27	817.65	407.68	1340.2	2296.4	308.20
13.500	5565.1	1773.9	3791.2	506.03	822.29	445.59	1269.7	2222.2	299.20
13.700	5569.1	1823.4	3745.7	528.92	857.77	436.67	1274.5	2178.7	292.48
13.900	5630.0	1849.0	3781.1	540.79	852.92	455.25	1291.6	2195.1	294.38
14.100	5647.0	1846.8	3800.2	485.04	884.92	476.88	1281.6	2220.0	298.52
14.300	5501.2	1796.0	3705.2	485.76	877.27	432.95	1224.9	2187.2	293.22
14.500	5593.2	1854.0	3739.2	511.76	861.83	480.44	1248.5	2195.1	295.67
14.700	5445.7	1839.8	3605.9	498.22	845.50	496.03	1211.4	2111.0	283.54
14.900	5473.6	1851.4	3622.2	501.11	882.87	467.39	1223.6	2114.9	283.77
15.100	5312.4	1816.9	3495.5	514.55	862.39	439.96	1199.9	2023.1	272.45
15.300	5304.2	1763.9	3540.4	489.90	842.93	431.02	1227.2	2039.8	273.45
15.500	5263.6	1782.8	3480.8	491.79	824.90	466.14	1208.8	2002.2	269.78
15.700	5211.2	1802.5	3408.8	483.58	845.63	473.24	1194.4	1952.5	261.96
15.900	5275.3	1760.4	3514.9	471.74	838.59	450.03	1250.9	1995.6	268.44
16.100	5057.4	1757.7	3299.8	505.63	785.33	466.71	1130.9	1912.3	256.63
16.300	5122.8	1749.0	3373.9	495.57	848.86	404.55	1151.4	1959.8	262.72
16.500	5181.3	1764.4	3416.9	490.66	853.06	420.66	1177.2	1974.1	265.49
16.700	5230.1	1834.3	3395.9	511.20	870.07	452.98	1147.9	1982.0	265.92
16.900	5062.2	1693.6	3368.6	493.69	796.39	403.55	1178.9	1930.5	259.23
17.100	5052.7	1732.5	3320.2	450.74	821.22	460.50	1112.3	1946.4	261.54
17.300	5101.8	1800.1	3301.7	486.75	866.43	446.88	1101.8	1938.8	261.05
17.500	5016.3	1738.3	3278.0	494.40	807.65	436.30	1105.8	1915.8	256.47
17.700	5022.8	1734.7	3288.1	460.13	834.19	440.41	1096.5	1932.0	259.67
17.900	5037.3	1741.5	3295.9	497.81	784.31	459.35	1161.8	1881.1	253.03
18.100	4908.4	1747.7	3160.7	499.43	808.32	439.95	1106.7	1811.2	242.76
18.300	5074.1	1762.1	3312.0	501.36	808.37	452.36	1167.3	1890.4	254.19
18.500	4842.7	1700.6	3142.0	466.66	805.43	428.53	1045.1	1848.6	248.40
18.700	4923.2	1763.3	3159.8	502.99	808.31	452.03	1044.1	1865.4	250.32
18.900	4814.8	1654.6	3160.3	431.15	773.33	450.12	1063.4	1848.6	248.24
19.100	4882.9	1667.4	3215.5	459.39	761.98	446.05	1078.5	1884.1	252.85
19.300	4870.1	1685.5	3184.5	480.45	789.00	416.07	1064.3	1869.3	250.90
19.500	4851.1	1701.4	3149.7	440.74	843.82	416.86	1055.9	1845.1	248.61
19.700	4736.9	1723.5	3013.3	479.64	792.58	451.31	1054.3	1726.6	232.46
19.900	4796.0	1720.1	3075.8	470.83	824.89	424.42	1052.0	1785.0	238.85
20.100	4828.7	1707.0	3121.6	464.49	836.80	405.77	1072.5	1806.0	243.11
20.300	4713.3	1627.6	3085.8	449.15	763.27	415.14	1065.9	1781.0	238.80
20.500	4749.6	1653.1	3096.5	460.30	769.07	423.73	1043.5	1810.4	242.58
20.700	4774.8	1723.1	3051.7	472.67	808.47	441.91	1033.6	1778.0	240.08
20.900	4817.3	1734.3	3083.0	451.66	827.72	454.88	1047.9	1794.4	240.77
21.100	4685.5	1705.2	2980.3	503.43	771.39	430.39	1028.8	1720.3	231.14
21.300	4637.0	1638.2	2998.8	412.41	796.60	429.19	1009.6	1754.7	234.55
21.500	4742.6	1666.2	3076.4	460.93	790.92	414.37	1033.5	1800.6	242.35
21.700	4662.1	1713.9	2948.2	472.17	807.04	434.66	974.06	1740.0	234.14
21.900	4704.6	1642.7	3061.9	442.66	790.94	409.13	1042.4	1781.5	238.00
22.100	4750.7	1704.1	3046.6	445.26	799.71	459.17	990.50	1812.1	243.99
22.300	4753.8	1688.2	3065.6	468.72	807.21	412.30	1066.3	1762.3	236.94
22.500	4609.9	1661.3	2948.6	422.63	787.82	450.84	966.25	1747.4	234.97
22.700	4611.3	1725.6	2885.7	454.47	830.74	440.35	986.94	1673.3	225.49
22.900	4592.6	1612.9	2979.6	428.57	780.17	404.20	1004.5	1742.2	232.90
23.100	4542.7	1617.4	2925.3	444.46	760.14	412.83	936.48	1753.7	235.12
23.300	4643.5	1681.2	2962.3	485.69	770.56	424.91	979.60	1747.5	235.21
